    0.480406664589762666E+01    0.170894275971889509E+01   -0.180847358703613281E+01    0.638839244842529297E+00    0.547089457511901855E+00    0.897428117102384570E-01    0.623557551536738863E+01   -0.135620751380920410E+02   -0.347980182552549966E+01
    0.469814699101805733E+01    0.604640550746917804E+00   -0.292725682258605957E+01    0.196956419944763184E+01   -0.288673877716064453E+00    0.152458180016279230E-01    0.566848606337964522E+01   -0.124568049907684326E+02   -0.188217658319244530E+01
    0.197495309011112918E+01    0.315760685191142976E+00   -0.121456587004318273E+01   -0.315870015731221088E+00    0.287885772709827847E+00    0.365665582104838627E+00    0.414249645163039037E+01   -0.120957171863730384E+02   -0.185137167677888326E+01
    0.263085394726189348E+01    0.424811364188498786E+01   -0.376992769081985468E+01   -0.162780383104728310E+00   -0.105115778691876494E+00    0.308772406180576164E+00    0.429354365306865304E+01   -0.133924156731374122E+02   -0.121888558589267260E+01
    0.774235975413002819E+00    0.504712991563946822E+01   -0.302474855567082379E+01   -0.235812081579482857E+00    0.947737475569288002E+00    0.338848522495985238E+00    0.284395962723381102E+01   -0.105718946231005688E+02   -0.109277439470907756E+01
    0.774235975413002819E+00    0.504712991563946822E+01   -0.302474855567082379E+01   -0.235812081579482857E+00    0.947737475569288002E+00    0.338848522495985238E+00    0.284395962723381102E+01   -0.105718946231005688E+02   -0.109277439470907756E+01
    0.540626428547441940E+01    0.134091180658996101E+01   -0.288926458358764648E+01    0.772140026092529297E-01   -0.789717793464660645E+00    0.293122750396132503E+00    0.432885020318806202E+01   -0.133485574722290039E+02   -0.952142244274890026E+00
    0.214970415558457395E+01    0.560318359858989701E+00   -0.163244724273681641E+01   -0.198331522941589355E+01    0.539184093475341797E+00    0.307984698407053947E+00    0.163682875601112854E+01   -0.104798359870910645E+02   -0.676561419021758925E+00
    0.214970415558457395E+01    0.560318359858989701E+00   -0.163244724273681641E+01   -0.198331522941589355E+01    0.539184093475341797E+00    0.307984698407053947E+00    0.163682875601112854E+01   -0.104798359870910645E+02   -0.676561419021758925E+00
    0.236181464999261159E+01    0.551329796089180491E+01   -0.373765022133643399E+01   -0.106141894048937813E+01    0.626167091336028658E+00    0.274655752054147828E+00    0.575394935700939913E+00   -0.112492045186600720E+02   -0.537683970719368576E+00
