    0.619004373238038230E+01    0.250425933799061351E+01    0.289481790036518882E+01    0.199686889502680015E-01    0.807564423208444282E+01    0.122814625583183279E+01    0.611006030436066716E+00    0.402518521667758300E+01    0.665812659902899320E-10   -0.466112308299204336E+01
    0.423971485686092908E+01    0.179957340440894686E+01    0.518763482272039678E+01    0.400242678303058486E+00    0.391254484599784291E+00    0.708636730506051293E+01    0.627927322699813439E+00    0.486780600139994402E+01    0.765365105972052509E-10   -0.410644800105872942E+01
    0.344967614124703470E+01    0.564318469241616771E+01    0.135799004587710104E+01    0.316802429106178285E-01   -0.232911638195332671E+01    0.719449331813047621E+01    0.465174683223630581E+01    0.184289932353078534E+01    0.830078543024903807E-10   -0.383445700142197676E+01
    0.363992587231101439E+01    0.467047553124038384E+01    0.268716478005279003E+01    0.273933256412756898E+00    0.422290371479292048E+00    0.424891461961716388E+01    0.476583343599758980E+01    0.798454463777227841E+00    0.237085354638597545E-10   -0.379325053164660853E+01
    0.598667191168381674E+01    0.463907136251890151E+01    0.325137160254053326E+01    0.452170511173810297E-01   -0.199645550509200120E+01   -0.672461951961220450E+01    0.421501003892151171E+01    0.284673361724459006E+01    0.441967585770625752E-10   -0.378108808017372278E+01
    0.377740534906871295E+01    0.169081376678278272E+01    0.398476973897579878E+01    0.131010935554918672E-01    0.662087142912926652E+01    0.744866245747834554E+01    0.226312193579410526E+01    0.399960487697841938E+01    0.745965324171695113E-10   -0.359749672458576253E+01
    0.556149092286702906E+01    0.503510503291701728E+01    0.397317548818423782E+01    0.352119950930426182E-01   -0.580850167430006081E+01    0.409471555071322335E+01    0.407755955956855054E+01    0.386666488886223325E+01    0.229873855847607701E-10   -0.353053598230324805E+01
    0.183362423719945156E+01    0.195162381325521461E+01    0.200984807100945861E+01    0.358186637930367271E-01    0.425284583930493909E+01    0.505542679883037138E+01    0.380577870629706183E+01    0.671734042731946479E+00    0.915023941285372171E-10   -0.350623179896526249E+01
    0.277772342321679488E+01    0.205646967152451143E+01    0.229973961526981086E+01    0.217078117773055052E-01   -0.119595608380592466E+02    0.315899907403967362E+01    0.645575122409472346E+00    0.579781751687798419E+01    0.286411703295304684E-10   -0.345269274039356899E+01
    0.178105264032712118E+01    0.551754096587161413E+01    0.370623183280274304E+01    0.224047737577463234E-01    0.793130643591730689E+01   -0.560721915581339925E+01    0.150058604197627843E+01    0.532286058155604636E+01    0.503240875826135050E-10   -0.344620327765833601E+01
    0.291376327095025411E+01    0.565835075732412296E+01    0.225212298949715350E+01    0.165203934086975493E-01   -0.145004393189893079E+02   -0.782685921203075097E+01    0.305157672395918445E+01    0.287165066046975781E+01    0.213819594647917568E-10   -0.342053777821679983E+01
