    0.383932084018111253E+01    0.847489440116286352E+00    0.244319092708408858E+01    0.692112243270874061E+00   -0.572117805480957031E+02    0.323137879371643066E+01    0.452513772247493318E+01    0.419643078570127503E+01    0.298831014871597349E-10   -0.126365033316264853E+09   -0.599146350544150419E+01    1
    0.606218350035548248E+01    0.365897497347414502E+01    0.285846972219109530E+01    0.841216648870706574E+00    0.388027429580688477E+02    0.523003816604614258E+01    0.324847751316845423E+01    0.207706621615290660E+00    0.503958958506584255E-10   -0.995349572833904773E+08   -0.599396350544151169E+01    1
    0.406972223015427625E+00    0.269637996322751050E+01    0.254014188095152393E+01    0.199082961690425858E+00   -0.876913785934448242E+02    0.603876829147338867E+01    0.519571028479635721E+01    0.600741555163264329E+00    0.642984749799966843E-10   -0.614986879682752565E+08   -0.599646350544151474E+01    1
    0.411844001331627396E+01    0.429001903845012222E+01    0.114617961615324018E-01    0.793287684941291760E+00    0.649008512496948242E+02    0.608295798301696777E+01    0.599263899128794719E+01    0.368820339632749583E+01    0.466509827226400403E-10   -0.480923466473878920E+08   -0.599896350544151957E+01    1
    0.669571129779815699E+00    0.145688810621142384E+01    0.250493781949162475E+01    0.992943515777587882E+00   -0.902509689331054688E+02   -0.871809601783752441E+01    0.286486593250453492E+01    0.559952241514682836E+01    0.491531500452756941E-10   -0.326181894561604485E+08   -0.600146350544151552E+01    1
    0.784667711734771789E+00    0.279663669310271734E+01    0.622057837021827709E+01    0.815618894761800717E+00    0.982894182205200195E+02    0.541958808898925781E+00    0.523829363825321193E+00    0.468852552376806742E+01    0.192001803612709058E-10   -0.240674826402980536E+08   -0.600396350544151858E+01    1
    0.281619646078526964E+01    0.199908368292868155E+01    0.600132531378984435E+01    0.411420677363872500E+00    0.590472698211669922E+02   -0.944833993911743164E+01    0.555735101972878009E+01    0.129252433887362495E+01    0.566934802263975235E-10   -0.184014659637606889E+08   -0.600646350544151630E+01    1
    0.288959802061796189E+01    0.307717674696445453E+00    0.292094315877616406E+01    0.843948950552940391E+00    0.930255055427551270E+02   -0.546505928039550781E+01    0.309658820975303684E+01    0.233290339347124120E+00    0.584533757352828941E-10   -0.173337653075660579E+08   -0.600896350544152469E+01    1
    0.114735182402729996E+01    0.472035976847052563E+01    0.176550684549093262E+01    0.994010809016227737E+00    0.696662545204162598E+02    0.305449962615966797E+00    0.548548381633698945E+01    0.424195177448213112E+01    0.316366318565607113E-10   -0.116656045938516725E+08   -0.601146350544151886E+01    1
    0.489542845270037663E+01    0.591804013159155851E+01    0.143493673485994355E+01    0.626974755233526193E+00   -0.926094412803649902E+02   -0.718516588211059570E+01    0.252625814602911491E+01    0.387519676775157462E+01    0.332492351770401023E-10   -0.113921458655295502E+08   -0.601396350544150859E+01    1
